Grip Name,20mm moon
Assessment Date,2026-09-11 13:20:42
Body Weight,65.0,kg

Hand,Critical Force,Max Force,W' (Work Prime),Unit
"Left",18.673802819893275,39.322653329613686,762.5901463956956,"kg"

Hand,Weight,Weight Unit,Timestamp Ms,Relative Ms
"Left",0.584430082415292,"kg",1789125388341,3
"Left",0.43696050077158766,"kg",1789125388353,15
"Left",0.45553578761626845,"kg",1789125388365,27
"Left",0.49594835362683887,"kg",1789125388378,40
"Left",0.5249439088830603,"kg",1789125388390,52
"Left",0.5835692773562221,"kg",1789125388402,64
"Left",0.6962440809289985,"kg",1789125388414,76
"Left",0.7882595005813468,"kg",1789125388426,88
"Left",0.8159864388031796,"kg",1789125388438,100
"Left",0.7764800806422995,"kg",1789125388450,112
"Left",0.7787000483255259,"kg",1789125388463,125
"Left",0.7685969297945706,"kg",1789125388475,137
"Left",0.8768769497024892,"kg",1789125388487,149
"Left",1.0620854191369362,"kg",1789125388499,161
"Left",1.2233724357034812,"kg",1789125388511,173
"Left",1.2846252091913757,"kg",1789125388523,185
"Left",1.2158517531053104,"kg",1789125388536,198
"Left",1.0277892513033549,"kg",1789125388548,210
"Left",0.8252740557153901,"kg",1789125388560,222
"Left",0.6927102526087081,"kg",1789125388572,234
"Left",0.5356360182444038,"kg",1789125388584,246
"Left",0.26751751528463474,"kg",1789125388596,258
"Left",0.09286414543760074,"kg",1789125388609,271
"Left",-0.06467443084611178,"kg",1789125388621,283
"Left",-0.17351658148485355,"kg",1789125388633,295
"Left",-0.20115759392860322,"kg",1789125388645,307
"Left",-0.15761167104595764,"kg",1789125388657,319
"Left",-0.1293362747101427,"kg",1789125388669,331
"Left",-0.068072915982628,"kg",1789125388681,343
"Left",-0.03440525656337183,"kg",1789125388694,356
"Left",-0.06857136046923265,"kg",1789125388706,368
"Left",-0.09091073610001701,"kg",1789125388718,380
"Left",-0.1262549815197857,"kg",1789125388730,392
"Left",-0.08837320053124943,"kg",1789125388742,404
"Left",-0.03658028705074221,"kg",1789125388754,416
"Left",0.023591702974630695,"kg",1789125388767,429
"Left",0.09209394845025157,"kg",1789125388779,441
"Left",0.16172879785238714,"kg",1789125388791,453
"Left",0.21151972997727425,"kg",1789125388803,465
"Left",0.26715507015275014,"kg",1789125388815,477
"Left",0.42404840954996004,"kg",1789125388827,489
"Left",0.5787668911332811,"kg",1789125388840,502
"Left",0.7710434249351155,"kg",1789125388852,514
"Left",0.9059630322613825,"kg",1789125388864,526
"Left",1.0659363753628863,"kg",1789125388876,538
"Left",1.2957703115821189,"kg",1789125388888,550
"Left",1.332784730747073,"kg",1789125388900,562
"Left",1.4190459593659037,"kg",1789125388912,574
"Left",1.5562755077192196,"kg",1789125388925,587
"Left",1.6741143145581558,"kg",1789125388937,599
"Left",1.8120685092486046,"kg",1789125388949,611
"Left",1.9752575138850204,"kg",1789125388961,623
"Left",2.0893356781302055,"kg",1789125388973,635
"Left",2.1870586470615985,"kg",1789125388985,647
"Left",2.266342421474015,"kg",1789125388998,660
"Left",2.3028129446991095,"kg",1789125389010,672
"Left",2.333756251813214,"kg",1789125389022,684
"Left",2.3245593397670277,"kg",1789125389034,696
"Left",2.277804586795349,"kg",1789125389046,708
"Left",2.266523641485459,"kg",1789125389058,720
"Left",2.2857782665430637,"kg",1789125389071,733
"Left",2.3769772010483856,"kg",1789125389083,745
"Left",2.5214093901102546,"kg",1789125389095,757
"Left",2.6102070358623726,"kg",1789125389107,769
"Left",2.6301411948866305,"kg",1789125389119,781
"Left",2.6882220723405332,"kg",1789125389131,793
"Left",2.808597120894642,"kg",1789125389143,805
"Left",2.9653065552929796,"kg",1789125389156,818
