Grip Name,20mm moon
Assessment Date,2026-09-11 13:32:07
Body Weight,65.0,kg

Hand,Critical Force,Max Force,W' (Work Prime),Unit
"Right",15.853472084559337,36.90740990620955,1256.4677216782736,"kg"

Hand,Weight,Weight Unit,Timestamp Ms,Relative Ms
"Right",0.8037728440386909,"kg",1789126069745,3
"Right",0.7884595996928522,"kg",1789126069757,15
"Right",0.8016434876811841,"kg",1789126069769,27
"Right",0.7217699470065391,"kg",1789126069781,39
"Right",0.6376829457614592,"kg",1789126069793,51
"Right",0.5692263009969836,"kg",1789126069806,64
"Right",0.4887183411133182,"kg",1789126069818,76
"Right",0.418268171800111,"kg",1789126069830,88
"Right",0.3427437349659341,"kg",1789126069842,100
"Right",0.2641837751251121,"kg",1789126069854,112
"Right",0.1896559708312197,"kg",1789126069866,124
"Right",0.12455170654240676,"kg",1789126069879,137
"Right",0.10380169723496727,"kg",1789126069891,149
"Right",0.11204733453856397,"kg",1789126069903,161
"Right",0.10253313760081502,"kg",1789126069915,173
"Right",0.10076621523162986,"kg",1789126069927,185
"Right",0.09736828752745019,"kg",1789126069939,197
"Right",0.10538739675913081,"kg",1789126069952,210
"Right",0.12604679441475003,"kg",1789126069964,222
"Right",0.1496963638123355,"kg",1789126069976,234
"Right",0.16555335226182444,"kg",1789126069988,246
"Right",0.17434265355935155,"kg",1789126070000,258
"Right",0.1899278048486234,"kg",1789126070012,270
"Right",0.1780124131955638,"kg",1789126070024,282
"Right",0.1637864307919665,"kg",1789126070037,295
"Right",0.1597089196117667,"kg",1789126070049,307
"Right",0.16442071029702646,"kg",1789126070061,319
"Right",0.18245236915388166,"kg",1789126070073,331
"Right",0.22136993553194062,"kg",1789126070085,343
"Right",0.27360734843928713,"kg",1789126070097,355
"Right",0.3166023927394369,"kg",1789126070110,368
"Right",0.3491771320523275,"kg",1789126070122,380
"Right",0.3800302501708263,"kg",1789126070134,392
"Right",0.3801208613732426,"kg",1789126070146,404
"Right",0.3729625761968093,"kg",1789126070158,416
"Right",0.34156578898498924,"kg",1789126070170,428
"Right",0.3122077471553507,"kg",1789126070183,441
"Right",0.2721122623355889,"kg",1789126070195,453
"Right",0.23328532304638794,"kg",1789126070207,465
"Right",0.2031570596460225,"kg",1789126070219,477
"Right",0.17067289381487413,"kg",1789126070231,489
"Right",0.16727496802897152,"kg",1789126070243,501
"Right",0.16976678028087894,"kg",1789126070255,513
"Right",0.18902169145505587,"kg",1789126070268,526
"Right",0.22399766367432972,"kg",1789126070280,538
"Right",0.28448070138637094,"kg",1789126070292,550
"Right",0.3325499713081725,"kg",1789126070304,562
"Right",0.4102037769591541,"kg",1789126070316,574
"Right",0.46941816995301433,"kg",1789126070328,586
"Right",0.5418164497007618,"kg",1789126070341,599
"Right",0.5961377857453254,"kg",1789126070353,611
"Right",0.6333336166499314,"kg",1789126070365,623
"Right",0.6278969550576957,"kg",1789126070377,635
"Right",0.6189264629374436,"kg",1789126070389,647
"Right",0.5979953122657304,"kg",1789126070401,659
"Right",0.6137163283430005,"kg",1789126070414,672
"Right",0.6693514940134613,"kg",1789126070426,684
"Right",0.7141586258217112,"kg",1789126070438,696
"Right",0.7692500835940048,"kg",1789126070450,708
"Right",0.7793532020754876,"kg",1789126070462,720
"Right",0.8411951438618885,"kg",1789126070474,732
"Right",0.8900797062806508,"kg",1789126070486,744
"Right",0.9590345455966665,"kg",1789126070499,757
"Right",1.060881051432393,"kg",1789126070511,769
"Right",1.157517368547371,"kg",1789126070523,781
"Right",1.287588930610005,"kg",1789126070535,793
"Right",1.398496249972399,"kg",1789126070547,805
"Right",1.494452758903994,"kg",1789126070559,817
"Right",1.600648179759463,"kg",1789126070572,830
"Right",1.7179885946997442,"kg",1789126070584,842
"Right",1.8670878087047689,"kg",1789126070596,854
"Right",2.0030484060522156,"kg",1789126070608,866
"Right",2.121385224337234,"kg",1789126070620,878
"Right",2.2605169530844686,"kg",1789126070632,890
"Right",2.4338085036445465,"kg",1789126070645,903
"Right",2.6587021592331257,"kg",1789126070657,915
"Right",2.925366578256382,"kg",1789126070669,927
"Right",3.2201648579055457,"kg",1789126070681,939
"Right",3.5354403956436173,"kg",1789126070693,951
"Right",3.884014324196709,"kg",1789126070705,963
"Right",4.217410663871338,"kg",1789126070717,975
"Right",4.611967547661738,"kg",1789126070730,988
"Right",5.030580436172388,"kg",1789126070742,1000
"Right",5.435103040081245,"kg",1789126070754,1012
"Right",5.892585792895755,"kg",1789126070766,1024
"Right",6.459205764580952,"kg",1789126070778,1036
"Right",7.18239606776303,"kg",1789126070790,1048
"Right",8.029537442415233,"kg",1789126070803,1061
"Right",9.196479470054468,"kg",1789126070815,1073
"Right",10.763366257110135,"kg",1789126070827,1085
"Right",11.158101130021864,"kg",1789126070839,1097
"Right",11.490950789142593,"kg",1789126070851,1109
"Right",13.258361512310408,"kg",1789126070863,1121
"Right",14.591900654987514,"kg",1789126070876,1134
"Right",15.78831043424449,"kg",1789126070888,1146
"Right",17.557163010402167,"kg",1789126070900,1158
"Right",19.198683879451067,"kg",1789126070912,1170
"Right",20.859937870740126,"kg",1789126070924,1182
"Right",22.83837610329293,"kg",1789126070936,1194
"Right",24.434953373493013,"kg",1789126070948,1206
"Right",25.872075187700624,"kg",1789126070961,1219
"Right",27.08716020343811,"kg",1789126070973,1231
"Right",28.227867580172333,"kg",1789126070985,1243
"Right",29.32020372716046,"kg",1789126070997,1255
"Right",29.945428291884404,"kg",1789126071009,1267
"Right",30.01366965165966,"kg",1789126071021,1279
"Right",29.679577824741653,"kg",1789126071034,1292
"Right",29.428772426178504,"kg",1789126071046,1304
"Right",29.440870871369757,"kg",1789126071058,1316
"Right",29.638660441852863,"kg",1789126071070,1328
"Right",29.773284639469182,"kg",1789126071082,1340
"Right",29.716779591875884,"kg",1789126071094,1352
"Right",29.712656130425863,"kg",1789126071107,1365
"Right",30.01425872088467,"kg",1789126071119,1377
"Right",30.692191160616005,"kg",1789126071131,1389
"Right",31.249823460639362,"kg",1789126071143,1401
"Right",31.370132555450645,"kg",1789126071155,1413
"Right",31.425098728235817,"kg",1789126071167,1425
"Right",31.48881062545182,"kg",1789126071179,1437
"Right",31.332249886388944,"kg",1789126071192,1450
"Right",30.988225811172658,"kg",1789126071204,1462
"Right",30.567760147036466,"kg",1789126071216,1474
"Right",30.335347741224922,"kg",1789126071228,1486
"Right",30.45760315267912,"kg",1789126071240,1498
"Right",30.696042817334018,"kg",1789126071252,1510
